"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","SourceArchiveRepository","SourceArchiveHead","ArchiveAction","ArchiveReason","ArchiveRelativePath","PublicAction","PublicRelativePath"
"Архив\Бинарное дерево C++",".vs\Бинарное дерево C++\v14\.suo","28672","2021-03-15T17:17:25.5553408Z","2016-04-28T12:04:30.0000000Z","2022-02-07T00:17:36.0000000Z","533536","bb1bd42d007cfc46f76fa1f163504632263599894fb78773f1b6c6a7d30fe0fb","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","manifest-only","generated-file:.suo","","metadata-only",""
"Архив\Бинарное дерево C++","Бинарное дерево C++.sln","1381","2021-03-15T17:17:27.5855711Z","2016-04-28T10:43:24.0000000Z","2022-02-07T00:17:38.0000000Z","533536","82c757bd92b7b70f276d3be220096cc5067f350b3bb01c93609214c5e4c7b4ee","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","copied","tracked-original-file","projects\Архив\Бинарное дерево C++\Бинарное дерево C++.sln","included-exact","original\Архив\Бинарное дерево C++\Бинарное дерево C++.sln"
"Архив\Бинарное дерево C++","Бинарное дерево C++.VC.db","5701632","2021-03-15T17:17:27.5875674Z","2016-04-28T12:04:30.0000000Z","2022-02-07T00:17:38.0000000Z","533536","eabf21f5c3ff4be85e91f6d00177623542231f80d336b186962aa529a265d9d7","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","manifest-only","generated-file:.vc.db","","metadata-only",""
"Архив\Бинарное дерево C++","Бинарное дерево C++\Бинарное дерево C++.cpp","1468","2021-03-15T17:17:27.6065164Z","2016-04-28T11:56:27.0000000Z","2026-07-14T01:20:14.1155701Z","533536","5ca6267f5d0b1362436df70057bf0f4312371ca91a49d344c771e2e35f7a68ae","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","copied","tracked-original-file","projects\Архив\Бинарное дерево C++\Бинарное дерево C++\Бинарное дерево C++.cpp","included-exact","original\Архив\Бинарное дерево C++\Бинарное дерево C++\Бинарное дерево C++.cpp"
"Архив\Бинарное дерево C++","Бинарное дерево C++\Бинарное дерево C++.vcxproj","8084","2021-03-15T17:17:27.6015288Z","2016-04-28T10:43:24.0000000Z","2022-02-07T00:17:38.0000000Z","533536","b0e26ac198f25a0181164d27b06e21add530e37db1262778f448262dd2b453dd","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","copied","tracked-original-file","projects\Архив\Бинарное дерево C++\Бинарное дерево C++\Бинарное дерево C++.vcxproj","included-exact","original\Архив\Бинарное дерево C++\Бинарное дерево C++\Бинарное дерево C++.vcxproj"
"Архив\Бинарное дерево C++","Бинарное дерево C++\Бинарное дерево C++.vcxproj.filters","1520","2021-03-15T17:17:27.6035243Z","2016-04-28T10:43:24.0000000Z","2022-02-07T00:17:38.0000000Z","533536","41da0984ae4648b1fc6a26e5804456b3ecd20171034c16e5a827ba82eb26ec75","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","copied","tracked-original-file","projects\Архив\Бинарное дерево C++\Бинарное дерево C++\Бинарное дерево C++.vcxproj.filters","included-exact","original\Архив\Бинарное дерево C++\Бинарное дерево C++\Бинарное дерево C++.vcxproj.filters"
"Архив\Бинарное дерево C++","Бинарное дерево C++\Debug\Бинарное дерево C++.log","567","2021-03-15T17:17:27.6144946Z","2016-04-28T11:55:58.0000000Z","2022-02-07T00:17:38.0000000Z","533536","955a6108aab23f90b59cd0fed1cef4a09fe98e6f1a4552e44affe310690e714f","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","manifest-only","generated-file:.log","","metadata-only",""
"Архив\Бинарное дерево C++","Бинарное дерево C++\Debug\Бинарное дерево C++.obj","16197","2021-03-15T17:17:27.6134957Z","2016-04-28T11:55:57.0000000Z","2022-02-07T00:17:38.0000000Z","533536","40edf94ccdf500125e2e332cbdefb42d61df12ea53edcb3748a9fff21729600b","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","manifest-only","generated-file:.obj","","metadata-only",""
"Архив\Бинарное дерево C++","Бинарное дерево C++\Debug\Бинарное дерево C++.pch","3407872","2021-03-15T17:17:27.6214764Z","2016-04-28T10:58:31.0000000Z","2022-02-07T00:17:38.0000000Z","533536","fed288308e3442aaa23f983b4c6899483ef3732337eab8e03a703998d3a97069","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","manifest-only","generated-file:.pch","","metadata-only",""
"Архив\Бинарное дерево C++","Бинарное дерево C++\Debug\Бинарное.6BF2FAB0.tlog\Бинарное дерево C++.lastbuildstate","276","2021-03-15T17:17:25.5633195Z","2016-04-28T11:55:58.0000000Z","2022-02-07T00:17:36.0000000Z","533536","2eeca3f62006c13015975a7782452e680d0f45a19322c8827179f7d9a462862e","MaximillianVoss/legacy-programming-projects-archive","0786de1c7b88204b82144d779d18da391bd7804d","manifest-only","generated-file:.lastbuildstate","","metadata-only",""
