"OriginalProjectPath","ChronologyStage","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","CanonicalAction","CanonicalReason","CanonicalRelativePath","CanonicalLength","CanonicalSha256"
"Архив\Binary Checker","01-Binary Checker","Binary Checker.sdf","52297728","2021-03-15T17:18:18.9458009Z","2014-02-09T20:48:32.0000000Z","2022-02-07T00:19:17.0000000Z","533536","7e953bf53ba3e9ac82342d6669db3c387562f585ee2f3d2dc23be5dbe9e92fd3","metadata-only","generated-file:.sdf","","",""
"Архив\Binary Checker","01-Binary Checker","Binary Checker.sln","2154","2021-03-15T17:18:18.9458009Z","2014-02-08T20:59:53.0000000Z","2022-02-07T00:19:16.0000000Z","533536","c7119b7a8de4a655b847adcad1c89acf5ee91251998c6a40317aa1b65c22b42f","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker.sln","2154","c7119b7a8de4a655b847adcad1c89acf5ee91251998c6a40317aa1b65c22b42f"
"Архив\Binary Checker","01-Binary Checker","Binary Checker.v12.suo","38912","2021-03-15T17:18:18.9458009Z","2014-02-09T20:48:32.0000000Z","2022-02-07T00:19:16.0000000Z","533536","f5285449407b55be4793f4581c47d83d139a783fe8895f5baf5334c68c5f427e","metadata-only","generated-file:.suo","","",""
"Архив\Binary Checker","01-Binary Checker","Binary Checker\App.xaml","241","2021-03-15T17:18:18.9614217Z","2014-02-08T20:59:51.0000000Z","2026-07-14T01:20:17.9763140Z","533536","68e9b7fcc8319611e60b0ab1e158c63112d3ce3a8f9c1674f277557d8a46f9ed","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker\App.xaml","241","68e9b7fcc8319611e60b0ab1e158c63112d3ce3a8f9c1674f277557d8a46f9ed"
"Архив\Binary Checker","01-Binary Checker","Binary Checker\App.xaml.cpp","6197","2021-03-15T17:18:18.9614217Z","2014-02-08T20:59:51.0000000Z","2026-07-14T01:20:17.9790202Z","533536","55937702695db035fe41892d6c1407806f8f8ea93bd2ed619b7618f88cb70275","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker\App.xaml.cpp","6197","55937702695db035fe41892d6c1407806f8f8ea93bd2ed619b7618f88cb70275"
"Архив\Binary Checker","01-Binary Checker","Binary Checker\App.xaml.h","782","2021-03-15T17:18:18.9614217Z","2014-02-08T20:59:51.0000000Z","2026-07-14T01:20:17.9811622Z","533536","869e67e42729086747020f3c42146ac167844f9857b96571f2d231836ecbbbb4","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker\App.xaml.h","782","869e67e42729086747020f3c42146ac167844f9857b96571f2d231836ecbbbb4"
"Архив\Binary Checker","01-Binary Checker","Binary Checker\Assets\Logo.scale-100.png","801","2021-03-15T17:18:17.8679304Z","2013-09-23T15:36:44.0000000Z","2026-06-16T00:34:53.9836850Z","533536","54be80ae48e4242d56170248e730ffac60a2828d07260a048e2ac0fd62386234","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker\Assets\Logo.scale-100.png","801","54be80ae48e4242d56170248e730ffac60a2828d07260a048e2ac0fd62386234"
"Архив\Binary Checker","01-Binary Checker","Binary Checker\Assets\SmallLogo.scale-100.png","329","2021-03-15T17:18:17.8679304Z","2013-09-23T15:36:44.0000000Z","2026-06-16T00:34:53.9896892Z","533536","36855fbbc6c297223cd449a67d02f9c976dd3e432c9905b4ffc6af8f1eec47a9","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker\Assets\SmallLogo.scale-100.png","329","36855fbbc6c297223cd449a67d02f9c976dd3e432c9905b4ffc6af8f1eec47a9"
"Архив\Binary Checker","01-Binary Checker","Binary Checker\Assets\SplashScreen.scale-100.png","2146","2021-03-15T17:18:17.8679304Z","2013-09-23T15:36:44.0000000Z","2026-06-16T00:34:53.9956875Z","533536","1dbcfb098cbbb33da94a6f4c28f2de82d9724b2854b5599a79f967f776f0fe36","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker\Assets\SplashScreen.scale-100.png","2146","1dbcfb098cbbb33da94a6f4c28f2de82d9724b2854b5599a79f967f776f0fe36"
"Архив\Binary Checker","01-Binary Checker","Binary Checker\Assets\StoreLogo.scale-100.png","429","2021-03-15T17:18:17.8835516Z","2013-09-23T15:36:44.0000000Z","2026-06-16T00:34:54.0006863Z","533536","dc825fcb94ff61d3b39368c27d311bdf74730e5ea9244472e5bfe511a1224b43","included-exact","source-only-history","original-source\01-Binary Checker\Binary Checker\Assets\StoreLogo.scale-100.png","429","dc825fcb94ff61d3b39368c27d311bdf74730e5ea9244472e5bfe511a1224b43"
