"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"Архив\Программы RC","Класс String\.vs\Класс String\v14\.suo","40960","2021-03-15T17:17:24.9499617Z","2016-05-02T13:01:58.0000000Z","2022-02-07T00:17:36.0000000Z","533536","cd591bd4a74652c471ff01d44b2fd00b2a0f53f47d9eb10fdc01eb036781d23b","manifest-only","generated-file:.suo",""
"Архив\Программы RC","Класс String\Класс String.sln","1333","2021-03-15T17:17:24.9290175Z","2016-04-29T17:27:49.0000000Z","2022-02-07T00:17:36.0000000Z","533536","fab775b3c12d488531f47513a72dc78b4dfcccffe25983248df11f66c149cf6b","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String.sln"
"Архив\Программы RC","Класс String\Класс String.VC.db","32571392","2021-03-15T17:17:24.9439770Z","2016-05-02T13:01:58.0000000Z","2022-02-07T00:17:36.0000000Z","533536","32875921c8d00810027bda760c2bba1dddcda13c3bece18a025cb3b2849dae6d","manifest-only","generated-file:.vc.db",""
"Архив\Программы RC","Класс String\Класс String\Класс String.cpp","3042","2021-03-15T17:17:24.9569427Z","2016-05-02T11:55:15.0000000Z","2026-07-14T01:20:15.0659105Z","533536","76363ef713385bd3b3af21251c4efcf6c53e0aa31c086bfbde9b09f3ce9cca6e","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String\Класс String.cpp"
"Архив\Программы RC","Класс String\Класс String\Класс String.vcxproj","8055","2021-03-15T17:17:24.9549478Z","2016-04-29T17:27:49.0000000Z","2022-02-07T00:17:36.0000000Z","533536","c5d6ec63e555e5c55e3a04823ff879e6753b24cbeaaadbac204922dfc2a0bbfb","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String\Класс String.vcxproj"
"Архив\Программы RC","Класс String\Класс String\Класс String.vcxproj.filters","1504","2021-03-15T17:17:24.9529532Z","2016-04-29T17:27:49.0000000Z","2022-02-07T00:17:36.0000000Z","533536","f1853210ffa5ecad855b1cab0f03a0b4911aeabe442586940e82ee11801becdb","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String\Класс String.vcxproj.filters"
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.log","164","2021-03-15T17:17:24.9669156Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","bda74e6818c7622339c77a79d5fd576a2325b7cfda2ba7c1675629c1e57a1e78","manifest-only","generated-file:.log",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.obj","66061","2021-03-15T17:17:24.9659185Z","2016-05-02T11:55:15.0000000Z","2022-02-07T00:17:36.0000000Z","533536","12c47d0a0e209fe4b730742d31e77aad6491d6724a0543eb59481f896b6de4de","manifest-only","generated-file:.obj",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.pch","3801088","2021-03-15T17:17:24.9719016Z","2016-04-29T18:08:41.0000000Z","2022-02-07T00:17:36.0000000Z","533536","0df4ee6ca424e9c084d3f2654d9b84e02c6992ae93056ed71d88ac0e4f2395ce","manifest-only","generated-file:.pch",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.tlog\Класс String.lastbuildstate","242","2021-03-15T17:17:25.0277521Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","c7de56418169de7bace8a11756b5ec9f0265d7ff6b2b1b9ab40f979482cb24c7","manifest-only","generated-file:.lastbuildstate",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.tlog\CL.command.1.tlog","3482","2021-03-15T17:17:25.0337362Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","182c1802f5581926e49fb7879fa0ad1c968db93971eb954098c85f07ad3ae5c0","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.tlog\CL.read.1.tlog","17478","2021-03-15T17:17:25.0317418Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","d7a445de3f72372f4cfcc4a41f5b2f0378642d09438dfe288233a4c71bf3e5e3","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.tlog\CL.write.1.tlog","1522","2021-03-15T17:17:25.0307440Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","44a07769daa0439d363bcdf83d9a439393a85c0c63239aa0cd9d0341302ffa26","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.tlog\link.command.1.tlog","3240","2021-03-15T17:17:25.0287494Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","a18d3b0a2c5e9d8dbdc31a2967fd82d57fd4936730458711b6326d2fb6d32e94","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.tlog\link.read.1.tlog","3320","2021-03-15T17:17:25.0257575Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","26c39389e8e87da7a93361ee5931a69ff62aa31cfc745f597e49c4b5b1b41f39","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Класс String\Класс String\Debug\Класс String.tlog\link.write.1.tlog","812","2021-03-15T17:17:24.9768890Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","874ba31bd13522d897a3f0a88c473859e1918c7af8e86315df5006e9ae10f1cf","manifest-only","generated-file:.tlog",""
"Архив\Программы RC","Класс String\Класс String\Debug\stdafx.obj","12690","2021-03-15T17:17:24.9699079Z","2016-04-29T18:08:41.0000000Z","2022-02-07T00:17:36.0000000Z","533536","fe5fc57e49017ca691a2d5ced6342c752ae1590f1b05f412594d4f68cf936400","manifest-only","generated-file:.obj",""
"Архив\Программы RC","Класс String\Класс String\Debug\vc140.idb","470016","2021-03-15T17:17:24.9738973Z","2016-05-02T11:55:15.0000000Z","2022-02-07T00:17:36.0000000Z","533536","188ae096b581d90df23880d7f92f79033f7e1d398549ab0ac32d452eba347b84","manifest-only","generated-file:.idb",""
"Архив\Программы RC","Класс String\Класс String\Debug\vc140.pdb","421888","2021-03-15T17:17:24.9689107Z","2016-05-02T11:55:15.0000000Z","2022-02-07T00:17:36.0000000Z","533536","bda684be5770f0c7c0af22aa7b105587d14aad85728102ec164467e0f30da5ef","manifest-only","generated-file:.pdb",""
"Архив\Программы RC","Класс String\Класс String\ReadMe.txt","2693","2021-03-15T17:17:24.9629267Z","2016-04-29T17:27:48.0000000Z","2022-02-07T00:17:36.0000000Z","533536","490b1a25337298ee75d53563c66b85b49899dc07d7cca4a357dab3490a972777","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String\ReadMe.txt"
"Архив\Программы RC","Класс String\Класс String\stdafx.cpp","359","2021-03-15T17:17:24.9609325Z","2016-04-29T17:27:48.0000000Z","2026-07-14T01:20:15.0579089Z","533536","40555e718d3fa68d7a5814c378390e73dac1731f3256c61c798a6dbb5f96bcd9","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String\stdafx.cpp"
"Архив\Программы RC","Класс String\Класс String\stdafx.h","363","2021-03-15T17:17:24.9599346Z","2016-04-29T17:27:48.0000000Z","2026-07-14T01:20:15.0609133Z","533536","a81406dd759e40f4ecbc93c232a276d82681ca151dede0d6fe5a9ae0c00c2ea5","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String\stdafx.h"
"Архив\Программы RC","Класс String\Класс String\targetver.h","342","2021-03-15T17:17:24.9579400Z","2016-04-29T17:27:48.0000000Z","2026-07-14T01:20:15.0629116Z","533536","53a2e8e17f1d4171ab23c2d920d05e269bdfe3a980298335fafb2b49c29ad228","copied","tracked-original-file","projects\Архив\Программы RC\Класс String\Класс String\targetver.h"
"Архив\Программы RC","Класс String\Debug\Класс String.exe","53248","2021-03-15T17:17:24.9330059Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","1b41381af9e7ec87abcc2aded291952d9e0d804449eb01353a7ab1715b6e71cb","copied","preserved-deliverable","projects\Архив\Программы RC\Класс String\Debug\Класс String.exe"
"Архив\Программы RC","Класс String\Debug\Класс String.ilk","447500","2021-03-15T17:17:24.9350012Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","f29db30f26ff924db6a8e3b9b0fa8c6931270f6371fc79a06ebf65a6f88f1125","manifest-only","generated-file:.ilk",""
"Архив\Программы RC","Класс String\Debug\Класс String.pdb","1028096","2021-03-15T17:17:24.9320095Z","2016-05-02T11:55:16.0000000Z","2022-02-07T00:17:36.0000000Z","533536","771204283043a5a8f07397d3a45eb3e87529d758046639d89ed03c97e20ee510","manifest-only","generated-file:.pdb",""
"Архив\Программы RC","Класс String\ipch\КЛАСС STRING-7f04e420\КЛАСС STRING-f80fddca.ipch","3538944","2021-03-15T17:17:24.9399871Z","2016-04-29T17:41:02.0000000Z","2022-02-07T00:17:36.0000000Z","533536","0a5e1206c5cac4e727d1cc57794531030d125a5689dc8dc6e0865202ba258b86","manifest-only","generated-file:.ipch",""
"Архив\Программы RC","Класс String\ipch\КЛАСС STRING-86ce5f15\КЛАСС STRING-f80fddca.ipch","3538944","2021-03-15T17:17:24.9429799Z","2016-05-02T12:08:31.0000000Z","2022-02-07T00:17:36.0000000Z","533536","7d0e234a4078970083c2ab1c6398fcd06ace8a2a33266c78be8a446037fae931","manifest-only","generated-file:.ipch",""
