"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\.suo","59904","2021-03-15T17:11:11.9547564Z","2019-07-23T19:12:18.0000000Z","2026-07-14T07:12:36.7945281Z","533536","b3e680b0ecd8efcf5eecf4d5f5a86e33719c09eae7b5b8ee5c46de72276d3199","manifest-only","generated-file:.suo",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\Browse.VC.db","40255488","2021-03-15T17:11:11.9391354Z","2019-07-23T19:12:18.0000000Z","2026-07-14T07:12:36.7965270Z","533536","c1f43566287cde82e3ca9a9f99b62564f1d6db90be24ae8ede1748d130503dca","manifest-only","sensitive-or-history-binary-held-local",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\46c8602cadd6a8c0\SHAMIR_SECRET.ipch","109248512","2021-03-15T17:11:10.0645790Z","2019-06-11T18:23:08.0000000Z","2026-07-14T07:12:36.9918576Z","533536","c21a6cbc8f4c0c7331001f88394093d8dbfc51cc5befbd728b5b04f357ed19fd","manifest-only","generated-file:.ipch",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\55ba7ea9d68816e5\FILEIO.ipch","108658688","2021-03-15T17:11:10.0645790Z","2019-06-09T13:54:30.0000000Z","2026-07-14T07:12:37.4338567Z","533536","ae0a79ab1ccec51e3524bef0325903087623f144053426f3ada4124df947a2e4","manifest-only","generated-file:.ipch",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\9ce33019aaaa9355\INFOIO.ipch","87097344","2021-03-15T17:11:10.0645790Z","2019-06-01T22:05:47.0000000Z","2026-07-14T07:12:37.8608551Z","533536","2a54f3612417c7b400970593e63ae2ece61583d357626b2447a3deeb20657149","manifest-only","generated-file:.ipch",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\9ee2122815abe71e\STRHELPER.ipch","108593152","2021-03-15T17:11:10.0801999Z","2019-07-23T17:41:01.0000000Z","2026-07-14T07:12:38.2430414Z","533536","4000c1ae99d40410621652551ec39c75434387e75afb83ebcf339b6c9e4f5d52","manifest-only","generated-file:.ipch",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\d3ef17139631cd60\SHAMIR_SECRET.ipch","109248512","2021-03-15T17:11:10.0958214Z","2019-07-23T17:39:21.0000000Z","2026-07-14T07:12:38.6880408Z","533536","077ec9ec5241eeef34f7d4437f41f9ae1e1065b6364baefb007d4964f5e913f9","manifest-only","generated-file:.ipch",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\d4170a8a1a803e67\INFOIO.ipch","114229248","2021-03-15T17:11:10.0801999Z","2019-06-01T15:42:27.0000000Z","2026-07-14T07:12:39.1249387Z","533536","fe11e74ab0631b457c58e375c7b829159a9fdd1b6600333421a1066f05ccc1f1","manifest-only","generated-file:.ipch",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\.vs\Shamir_Secret\v16\ipch\AutoPCH\f25c7396e5daa15c\MAIN.ipch","114819072","2021-03-15T17:11:10.0801999Z","2019-06-01T15:42:14.0000000Z","2026-07-14T07:12:39.5778151Z","533536","335654b2f4c1a7f2623344de85a433a7319240f489e5cda5fa60d097aa0bb0ca","manifest-only","generated-file:.ipch",""
"C++","Код C++\Шифрование и криптография\Shamir_Secret\Debug\Shamir_Secret.exe","304640","2021-03-15T17:11:18.0743424Z","2019-07-23T17:48:25.0000000Z","2026-07-14T07:12:40.0428157Z","533536","89e8f276d3ef7ae9763fd93843949ab06689ab4c7863c53b5e7b814a85c034f3","manifest-only","executable-deliverable-held-local",""
